target,model,precision,recall,f1,confusion_matrix,roc_auc,pr_auc
implementation_risk,dummy_classifier,0.0,0.0,0.0,"[[765, 0], [810, 0]]",0.5,0.5142857142857142
implementation_risk,logistic_regression,0.5276073619631901,0.9555555555555556,0.6798418972332015,"[[72, 693], [36, 774]]",0.7249544097474381,0.7101461243965324
implementation_risk,random_forest,0.7905882352941176,0.8296296296296296,0.8096385542168675,"[[587, 178], [138, 672]]",0.859351246671508,0.8688922687082457
cost_overrun,dummy_classifier,0.0,0.0,0.0,"[[1258, 0], [317, 0]]",0.5,0.20126984126984127
cost_overrun,logistic_regression,1.0,0.11041009463722397,0.19886363636363635,"[[1258, 0], [282, 35]]",0.8470357535119086,0.7572682448838474
cost_overrun,random_forest,0.8636363636363636,0.23974763406940064,0.37530864197530867,"[[1246, 12], [241, 76]]",0.8886545666096601,0.708341458150285
